GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ims,com.qa.ims.exceptions,UserNotFoundException,5,0,0,0,2,0,2,0,2,0
ims,com.qa.ims.exceptions,InsufficientPermissionsException,5,0,0,0,2,0,2,0,2,0
ims,com.qa.ims.exceptions,OrderNotFoundException,5,0,0,0,2,0,2,0,2,0
ims,com.qa.ims.exceptions,CustomerNotFoundException,5,0,0,0,2,0,2,0,2,0
ims,com.qa.ims.exceptions,ItemNotFoundException,5,0,0,0,2,0,2,0,2,0
ims,com.qa.ims.controller,UserController,23,141,1,3,7,36,2,7,1,6
ims,com.qa.ims.controller,OrderController,145,197,23,9,33,42,16,8,2,6
ims,com.qa.ims.controller,ItemController,29,120,2,2,9,29,3,7,2,6
ims,com.qa.ims.controller,Action,151,362,57,44,33,73,39,26,1,6
ims,com.qa.ims.controller,CustomerController,36,131,3,3,10,32,4,7,2,6
ims,com.qa.ims,IMS,162,81,21,0,52,17,20,2,5,2
ims,com.qa.ims,Runner,31,0,0,0,8,0,3,0,3,0
ims,com.qa.ims.persistence.dao,OrderDAO,87,391,14,10,22,107,10,15,1,12
ims,com.qa.ims.persistence.dao,LoginDAO,11,67,3,3,4,15,3,4,0,4
ims,com.qa.ims.persistence.dao,ItemDAO,12,246,3,5,3,67,3,10,0,9
ims,com.qa.ims.persistence.dao,OrderEditsDAO,0,217,0,2,0,60,0,9,0,8
ims,com.qa.ims.persistence.dao,ItemEditDAO,0,173,0,2,0,48,0,8,0,7
ims,com.qa.ims.persistence.dao,CustomerDAO,46,286,4,6,16,74,4,11,0,10
ims,com.qa.ims.persistence.dao,UserDAO,22,245,3,5,7,67,3,10,0,9
ims,com.qa.ims.persistence.dao,CustomerEditDAO,0,173,0,2,0,48,0,8,0,7
ims,com.qa.ims.persistence.domain,ItemEdit,24,65,1,13,5,19,4,9,3,3
ims,com.qa.ims.persistence.domain,CustomerEdit,24,65,1,13,5,19,4,9,3,3
ims,com.qa.ims.persistence.domain,OrderEdit,9,80,1,13,4,20,3,10,2,4
ims,com.qa.ims.persistence.domain,Domain,104,90,13,0,34,11,11,4,2,4
ims,com.qa.ims.persistence.domain,Customer,0,217,0,38,0,55,0,30,0,11
ims,com.qa.ims.persistence.domain,User,32,213,6,39,13,53,10,29,5,10
ims,com.qa.ims.persistence.domain,Order,12,300,0,42,6,71,3,33,3,12
ims,com.qa.ims.persistence.domain,Item,0,224,0,38,0,56,0,30,0,11
ims,com.qa.ims.persistence.domain,Edit,16,109,1,21,7,27,5,14,4,4
ims,com.qa.ims.utils,Utils,88,12,10,0,35,4,11,2,6,2
ims,com.qa.ims.utils,DBUtils,8,170,1,3,3,39,1,13,0,12
